ano;CLF_rc_2015;NCLF_rc_2015;;;;;;;;ano;CHF_rc_2015;NCHF_rc_2015;;ano;CLF_rc_2016;NCLF_rc_2016;CHF_rc_2016;NCHF_rc_2016;;;CLF_rc_2017;NCLF_rc_2017;CHF_rc_2017;NCHF_rc_2017;;;CLF_rc_2018;NCLF_rc_2018;CHF_rc_2018;NCHF_rc_2018;;;;;;;;;;;;;;
2017;0.19;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;23.69;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;0.4;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;0.84;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;0;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;0.1;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;0;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;0;CHF;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;1.84;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;1.64;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;4.75;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;9.98;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;31.83;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;2.38;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;0;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;52.83;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;41.76;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;0.44;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;7.14;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;13.55;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;4.24;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;0.7;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;36.03;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;10.98;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;0.69;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;12.14;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;2.4;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;16.6;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;22.09;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;0.45;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;1.06;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;0;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;0.17;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;0.01;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;0;NCHF;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
